SW106563;EL MASSOUDI MOLNE;LAURA ANTONIA;X;24;163;87;Grado en Geografía y Medio Ambiente;4
KG802920;IBARGUCHI FORNELLS;NOARA;M;24;160;47;Grado en Información y Documentación;1
P65091;SUEIRAS AKALAI;MAYORO;H;37;165;85
U03504;VIQUEIRA BUCATARU;ANGEL SERGIO;H;30;148;64
EM012710;IZETA BELSA;INMACULADA;M;22;178;104;Grado en Negocios Internacionales;1
OG263455;GUDINO BELKADI;ADRIAN RAMON;H;25;151;52;Grado en Ciencias Políticas y de la Administración Pública;3
TU980668;PANADEIROS COJOC;ROGER EDUARDO;H;22;148;91;Grado en Información y Documentación;1
WN693675;PRADERA MARTINAN;ANTONIO HECTOR;H;22;193;53;Grado en Bioquímica y Ciencias Biomédicas;1
JP032454;HERGUETA POSTIGO;GUILLERMO MARTIN;H;19;178;50;Doble Grado en Sociología y Ciencias Políticas y de la Administración Pública;1
HG660839;DEL COSO WEBER;ALBA MAR;M;
FD299838;QUEZADA FOLGUERAL;JHON EDWARD;H;18;166;94;Grado en Finanzas y Contabilidad;2
AU842951;SOBRIDO SORALUCE;JULIA CLAUDIA;M;20;177;66;Grado en Historia del Arte;4
BI117739;NOGUEIRO MININO;ISABEL NIEVES;O;20;196;98;Grado en Historia del Arte;4
VL782142;BEGUERIA AVIA;JORGE EFRAIN;H;25;151;86;Grado en Derecho;1
YW608055;ACERO ARESES;ISABEL MACARENA;M;22;167;84;Grado en Economía;1
D45687;ALCAZAR ALEXANDRE;JOSEP VICENT;H;56;163;94
GX903370;CANAS ISPIERTO;ANGELA CECILIA;M;21;145;48;Grado en Ciencias Gastronómicas;1
H66446;GOULD ADDOU;JUAN GENARO;H;65;198;81
IJ724654;FLAQUE ONDIVIELA;GLORIA ADRIANA;O;25;155;79;Grado en Ciencias de la Actividad Física y del Deporte;3
PR740037;PENAS SEVILLA;BLANCA JULIA;M;18;143;52;Doble Grado en Sociología y Ciencias Políticas y de la Administración Pública;3
Y92669;CEACERO GREBOL;ROBERTO CARLOS;H;42;160;85
BI218201;TIHOMIROVA HERRERIA;ISAIAS ANTONIO;H;19;156;66;Grado en Ciencias de la Actividad Física y del Deporte;1
L40853;PRECIADO MBATHIE;MARIANO CARMELO;H;39;187;90
X79823;MADINA CACERENO;CHRISTIAN JESUS;H;35;141;79
ID286966;CARRAU POCOSTALES;JASPER;H;24;167;70;Grado en Fisioterapia;2
CT528052;XICOLA URIGUEN;CORPUS;M;23;142;60;Grado en Traducción y Mediación Interlingüística: Alemán;2
J87906;OCHANDIO TIRADO;MARIA FULGENCIA;M;57;181;97
OW659850;ZERIOUH OTALVARO;CARMEN ANGELES;M;18;185;78;Grado en Ingeniería Electrónica Industrial;3
HS533866;UCHE MALVAREZ;DANIEL HUMBERTO;H;24;190;48;Grado en Traducción y Mediación Interlingüística: Francés;1
V99267;CHOUCINO ALVARE;JOSAFAT;H;53;151;50
Z23751;CULEA IZARD;ANGEL FLORENCIO;H;35;196;47
D35141;AMARI VALS;MARK JOHN;H;66;142;75
JC587984;CASTROMIL CAUBET;BLANCA YOLANDA;M;18;174;89;Doble Grado en Farmacia y Nutrición Humana y Dietética;1
W11066;ALFOSEA MONLLEO;CECILIA ISABEL;M;62;142;57
XP070357;ROQUERO SOLIMAN;FELISA PILAR;M;18;149;60;Grado en Matemáticas;3
CK047054;MAINER CEBA;MARIA ALMUDENA;O;18;188;69;Grado en Ciencias Gastronómicas;1
CZ450298;COMBALIA ZOUBIR;IVANA MARIA;M;19;164;45;Grado en Fisioterapia;1
AA727034;URQUIOLA ALFONSO;BERNARDUS;H;22;167;54;Grado en Óptica y Optometría;2
ZW152572;CALDERAY PURSALS;FLORIN IONUT;H;23;155;98;Grado en Criminología;4
R55059;TABAREZ PERE;RITA CAROLINA;M;34;198;92
ZU443043;ANORO PORTERO;ANTONIA PAZ;M;25;160;45;Grado en Negocios Internacionales;1
S95782;CASAU DOBRE;DIANA SOFIA;M;27;195;69
S43696;BARES GENZOR;MANUEL REYES;H;34;170;80
I36713;SALTO ROSTAS;MARCELA ROCIO;M;42;148;52
MW976564;SAIDI GARCIA MORATO;BENICIO;H;18;166;75;Grado en Traducción y Mediación Interlingüística: Inglés;3
M94513;TORVISCO POSADAS;MARIA NATACHA;M;55;179;93
XK081259;GARROSA LIBERAL;FRANCISCO AMADO;H;21;190;85;Grado en Comunicación Audiovisual;3
AC912969;CHORDA HESSE;GEMA MAR;M;18;166;85;Grado en Filosofía;1
